ticker,index,region
ADS.DE,DAX,DE
AIR.PA,DAX,DE
ALV.DE,DAX,DE
BAS.DE,DAX,DE
BAYN.DE,DAX,DE
BEI.DE,DAX,DE
BMW.DE,DAX,DE
BNR.DE,DAX,DE
CBK.DE,DAX,DE
CON.DE,DAX,DE
1COV.DE,DAX,DE
DTG.DE,DAX,DE
DBK.DE,DAX,DE
DB1.DE,DAX,DE
DHL.DE,DAX,DE
DTE.DE,DAX,DE
EOAN.DE,DAX,DE
ENR.DE,DAX,DE
FRE.DE,DAX,DE
HNR1.DE,DAX,DE
HEI.DE,DAX,DE
HEN3.DE,DAX,DE
IFX.DE,DAX,DE
MBG.DE,DAX,DE
MRK.DE,DAX,DE
MTX.DE,DAX,DE
MUV2.DE,DAX,DE
P911.DE,DAX,DE
PAH3.DE,DAX,DE
QIA.DE,DAX,DE
RHM.DE,DAX,DE
RWE.DE,DAX,DE
SAP.DE,DAX,DE
SRT3.DE,DAX,DE
SIE.DE,DAX,DE
SHL.DE,DAX,DE
SY1.DE,DAX,DE
VOW3.DE,DAX,DE
VNA.DE,DAX,DE
ZAL.DE,DAX,DE
AFX.DE,MDAX,DE
AIXA.DE,MDAX,DE
AT1.DE,MDAX,DE
BC8.DE,MDAX,DE
BOSS.DE,MDAX,DE
COK.DE,MDAX,DE
DUE.DE,MDAX,DE
EVK.DE,MDAX,DE
EVT.DE,MDAX,DE
FIE.DE,MDAX,DE
FNTN.DE,MDAX,DE
FPE3.DE,MDAX,DE
FRA.DE,MDAX,DE
G1A.DE,MDAX,DE
GBF.DE,MDAX,DE
GXI.DE,MDAX,DE
HOT.DE,MDAX,DE
JUN3.DE,MDAX,DE
KGX.DE,MDAX,DE
KRN.DE,MDAX,DE
LEG.DE,MDAX,DE
LHA.DE,MDAX,DE
LXS.DE,MDAX,DE
NDA.DE,MDAX,DE
NEM.DE,MDAX,DE
NDX1.DE,MDAX,DE
PBB.DE,MDAX,DE
PSM.DE,MDAX,DE
RAA.DE,MDAX,DE
RRTL.DE,MDAX,DE
SAX.DE,MDAX,DE
SDF.DE,MDAX,DE
SZG.DE,MDAX,DE
TEG.DE,MDAX,DE
TKA.DE,MDAX,DE
TLX.DE,MDAX,DE
WCH.DE,MDAX,DE
SIX2.DE,MDAX,DE
KCO.DE,MDAX,DE
JEN.DE,MDAX,DE
S92.DE,MDAX,DE
WAF.DE,MDAX,DE
SCE.DE,MDAX,DE
TTK.DE,MDAX,DE
ADN1.DE,SDAX,DE
AOF.DE,SDAX,DE
BFSA.DE,SDAX,DE
BIJ.DE,SDAX,DE
CEC.DE,SDAX,DE
DEQ.DE,SDAX,DE
DEZ.DE,SDAX,DE
DRW3.DE,SDAX,DE
DWNI.DE,SDAX,DE
ELG.DE,SDAX,DE
EUZ.DE,SDAX,DE
G24.DE,SDAX,DE
GFT.DE,SDAX,DE
GLJ.DE,SDAX,DE
GYC.DE,SDAX,DE
HAB.DE,SDAX,DE
HBH.DE,SDAX,DE
HLAG.DE,SDAX,DE
HYQ.DE,SDAX,DE
INH.DE,SDAX,DE
KSB3.DE,SDAX,DE
KWS.DE,SDAX,DE
NOEJ.DE,SDAX,DE
PFV.DE,SDAX,DE
PNE3.DE,SDAX,DE
SFQ.DE,SDAX,DE
SGL.DE,SDAX,DE
SKB.DE,SDAX,DE
SZU.DE,SDAX,DE
VBK.DE,SDAX,DE
VOS.DE,SDAX,DE
WUW.DE,SDAX,DE
AI.PA,ESTOXX,FR
ACA.PA,ESTOXX,FR
BN.PA,ESTOXX,FR
BNP.PA,ESTOXX,FR
CS.PA,ESTOXX,FR
DG.PA,ESTOXX,FR
EL.PA,ESTOXX,FR
ENGI.PA,ESTOXX,FR
KER.PA,ESTOXX,FR
MC.PA,ESTOXX,FR
OR.PA,ESTOXX,FR
RI.PA,ESTOXX,FR
RMS.PA,ESTOXX,FR
SAF.PA,ESTOXX,FR
SAN.PA,ESTOXX,FR
SGO.PA,ESTOXX,FR
SU.PA,ESTOXX,FR
STLAP.PA,ESTOXX,FR
TTE.PA,ESTOXX,FR
VIE.PA,ESTOXX,FR
CAP.PA,ESTOXX,FR
GLE.PA,ESTOXX,FR
ML.PA,ESTOXX,FR
ORA.PA,ESTOXX,FR
PUB.PA,ESTOXX,FR
ADYEN.AS,ESTOXX,NL
AD.AS,ESTOXX,NL
ASML.AS,ESTOXX,NL
ASM.AS,ESTOXX,NL
INGA.AS,ESTOXX,NL
PRX.AS,ESTOXX,NL
WKL.AS,ESTOXX,NL
PHIA.AS,ESTOXX,NL
HEIA.AS,ESTOXX,NL
DSFIR.AS,ESTOXX,NL
AKZA.AS,ESTOXX,NL
BBVA.MC,ESTOXX,ES
SAN.MC,ESTOXX,ES
IBE.MC,ESTOXX,ES
ITX.MC,ESTOXX,ES
AENA.MC,ESTOXX,ES
TEF.MC,ESTOXX,ES
REP.MC,ESTOXX,ES
FER.MC,ESTOXX,ES
ENEL.MI,ESTOXX,IT
ENI.MI,ESTOXX,IT
ISP.MI,ESTOXX,IT
UCG.MI,ESTOXX,IT
G.MI,ESTOXX,IT
RACE.MI,ESTOXX,IT
PST.MI,ESTOXX,IT
STLAM.MI,ESTOXX,IT
ABI.BR,ESTOXX,BE
UCB.BR,ESTOXX,BE
SOLB.BR,ESTOXX,BE
KBC.BR,ESTOXX,BE
NOKIA.HE,ESTOXX,FI
NDA-FI.HE,ESTOXX,FI
SAMPO.HE,ESTOXX,FI
UPM.HE,ESTOXX,FI
KNEBV.HE,ESTOXX,FI
